dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,classical,-19.8,1,195.5347178,1023,341,1.043106936,160.0515712,142.4674109,174.3229613,9,0.452002798,437205,22.86451017,167.6669698,#NAME?,172.6245082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,classical,-19.8,2,197.6922643,1023,341,1.178097245,74.68282306,142.4800817,162.653093,9,0.456794636,4194904771,24.89427435,155.7087702,#NAME?,171.827455,1023,341,1.221203745,73.70121631,71.10636527,87.97026991,9,1,64010538366,10.52900023,84.36935831,#NAME?,86.27415333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,classical,-19.8,1,266.9265479,1023,341,1.044470474,222.521357,193.6467168,237.2711741,9,0.461611118,1547863,31.78876529,230.0641074,#NAME?,235.094294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,classical,-19.8,2,268.3861922,1023,341,1.178097245,103.6072179,193.6559277,220.7522158,9,0.46503752,45380412996,34.5357393,210.1208952,#NAME?,232.8321655,1023,341,1.221203745,101.9471165,94.28020868,117.1449979,9,1,1.05E+12,14.56387757,111.2363064,#NAME?,114.5200535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,classical,-19.8,1,138.2151952,511,170,1.041288884,110.3698922,101.7612488,124.0492623,8,0.456780864,2427,15.76712745,120.7131604,#NAME?,121.9326116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,-12.8,1,153.436945,511,170,1.18855104,44.97970066,97.72484697,98.08669287,2,0.460563267,587344,17.60075246,125.1637136,135.0840307,134.5345855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,-12.8,2,148.3574817,511,170,1.267927444,30.47650271,97.72875616,99.17849702,2,0.462022968,8794870,10.15883397,117.9122436,136.2564012,136.7510873,511,170,1.243464059,33.3519261,68.69829953,68.69826108,3,0.75,1,14.91571582,84.76069533,91.24746535,87.39288566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,-12.8,3,145.7227485,511,170,1.30879809,23.60199471,97.73019961,98.89715726,2,0.46256096,29951470,7.867337867,114.4749134,135.92115,136.4001915,511,170,1.289761265,25.32749906,75.29146777,75.29146101,2,0.75,1,11.00925529,92.89915226,101.1372016,99.3686579,511,170,1.31642021,21.21193047,49.96025769,49.95996888,4,0.75,1,10.20503439,60.20576312,63.16159988,62.06366601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,-12.8,1,228.9963256,1023,341,1.188569221,67.72786474,142.4806875,142.4801548,2,0.457022705,8285499611,26.67857848,181.2786719,201.9206318,200.2626018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,-12.8,2,219.9606661,1023,341,1.261873049,45.1570929,142.4840529,142.4839393,2,0.458287825,7.22E+11,17.56896144,169.9918795,201.9259941,199.5286152,1023,341,1.261873049,45.08563875,97.3245099,97.32410153,2,0.75,1,19.76943762,124.7964787,134.1864586,132.5973941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
