dimension,metric,memory_cost,recursion_depth,total cost,n_1,k_1,theta_1,code_size_1,num_codes_1,m_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,num_codes_2,m_2,filter_cost_2,memory_cost_2,search_cost_2,n_3,k_3,theta_3,code_size_3,num_codes_3,m_3,filter_cost_3,memory_cost_3,search_cost_3
818,hardware_time,1.0000000,1,316.236309335138,1023,341,1.20699520608462,91.3741650001268,25.7447727216135,2,243.086555579969,289.547620625982,289.433183871606,,,,,,,,,,,,,,,,,,
829,classical,0.0000011,1,267.134194861772,1023,341,1.04431334773604,253.4749638562,1,9,262.027900297657,-inf,266.047900881217,,,,,,,,,,,,,,,,,,
829,classical,0.0000011,2,269.087135935797,1023,341,1.21714184983782,111.164343625467,1,9,217.658273753236,-inf,267.087135935788,1023,341,1.18056599542668,142.268913374513,1,9,150.726774911689,-inf,154.841850399531,,,,,,,,,
829,classical,1.0000000,1,267.134194861772,1023,341,1.04431334773604,253.4749638562,1,9,262.027900297657,-inf,266.047900881217,,,,,,,,,,,,,,,,,,
829,classical,1.0000000,2,269.087135935797,1023,341,1.21714184983782,111.164343625467,1,9,217.658273753236,-inf,267.087135935788,1023,341,1.18056599542668,142.268913374513,1,9,150.726774911689,-inf,154.841850399531,,,,,,,,,
829,hardware_time,0.0000011,3,291.234198198828,1023,341,1.28441329897323,70.6670523995535,3.99774876443023,2,235.040438788354,286.148633048736,285.319225783572,1023,341,1.24353910256269,76.7470618361647,22.5024501478328,2,184.040907479894,192.143883933501,179.921571056024,1023,341,1.31296771218106,52.8360326902586,13.5654325269594,,84.8535296548347,88.5545931366735,88.5547153999815
829,hardware_time,0.0000011,2,293.155350758567,1023,341,1.24353910256269,76.827088359281,19.5649273122019,2,238.12155723811,273.204839953138,270.498271861729,1023,341,1.24074278341811,77.8789157154174,24.0627214358805,3,155.972020176614,168.664478878954,168.549946126293,,,,,,,,,
829,hardware_time,0.0000011,1,308.700854416315,1023,341,1.16669625246954,111.819601927449,34.5325881238613,2,255.625259607682,273.224405791369,273.10984561451,,,,,,,,,,,,,,,,,,
829,hardware_time,1.0000000,3,301.829204853138,1023,341,1.32431277842479,49.4694293872718,6.98903904773071,2,224.438325214585,293.840114952119,292.840216656903,1023,341,1.30898894951248,53.1688823987912,11.2211775833257,2,185.462253466466,231.742475082407,229.125637885834,1023,341,1.31662689551882,51.6104315270012,10.8743634309704,,139.070128676318,164.081279309759,164.08350390219
829,hardware_time,1.0000000,2,312.570541084573,1023,341,1.24353910256269,76.827088359281,19.5649273122019,2,238.12155723811,293.004839953138,281.140744715019,1023,341,1.29201928704649,59.7421868136729,13.990118525226,2,159.882090664853,189.322452220494,189.324622622259,,,,,,,,,
829,hardware_time,1.0000000,1,320.117433224401,1023,341,1.20691531125192,92.4987784352849,26.1579708628555,2,245.960486498417,293.015000785215,292.90170001555,,,,,,,,,,,,,,,,,,
